"Direcciones_c";"Direcciones_prueba";"Ciudad";"localizaciones.lat";"localizaciones.long"
"CR 44 26 71";"CR 44 26 71 CONJUNTO RESIDENCIAL MADERA ESENCIAL PH";"BELLO";6,20542;-75,56718
"CL 52 C SUR 39 E 37";"CL 52 C SUR 39 E 37 CORAZON DE ENVIGADO ALTO DE LAS FLORES";"ENVIGADO";6,17419;-75,57926
"CL 49 F 87 35";"CL 49 F 87 35 CAMPO VERDE";"MEDELLIN";6,263634;-75,60591
"CR 87 A 35 57";"CR 87 A 35 57 UNIDAD RESIDENCIAL ABADIA DEL PARQUE";"MEDELLIN";6,24456;-75,61191
"CL 66 48 87";"CL 66 48 87 ";"ITAGUI";6,180354;-75,59929
"CR 76 51 60";"CR 76 51 60 CONJUNTO RESIDENCIAL PARQUES DEL ESTADIO";"MEDELLIN";6,260286;-75,59157
"CR 48 4 SUR 400";"CR 48 4 SUR 400 ED TORREON DE LAS VEGAS";"MEDELLIN";6,19962;-75,57749
"CR 89 43 35";"CR 89 43 35 ED CANARIAS";"MEDELLIN";6,25143;-75,60725
"CL 36 D SUR 27 C 40";"CL 36 D SUR 27 C 40 CONJUNTO RESIDENCIAL PALMA DE MALLORCA ETAPAS 1 Y 2 P";"ENVIGADO";6,167366;-75,57344
"CR 59 70 349";"CR 59 70 349 CONJUNTO RESIDENCIAL CIUDADELA DEL VALLE";"ITAGUI";6,17811334;-75,61298972
"CL 64 SUR 39 211";"CL 64 SUR 39 211 TORRE 1 URB SANTIVARY";"SABANETA";6,149161077;-75,60898584
"CR 28 29 85";"CR 28 29 85 ";"MEDELLIN";6,23349;-75,56834
"CR 56 C 83 DD SUR 52";"CR 56 C 83 DD SUR 52 CONJUNTO NATURAL AQUAVENTO PH";"LA ESTRELLA";6,15199;-75,6401
"CL 12 SUR 22 121";"CL 12 SUR 22 121 PORTON DE LA COLINA";"MEDELLIN";6,19801;-75,59201
"CIR 5 66 B 152";"CIR 5 66 B 152 TORRE SION PH";"MEDELLIN";6,245644;-75,58588
"CL 63 76 55";"CL 63 76 55 CONJUNTO DE USO MIXTO PERLATO PH";"MEDELLIN";6,270062;-75,59019
"CL 71 SUR 35 180";"CL 71 SUR 35 180 URB SALTAMONTE";"SABANETA";6,145587;-75,61096
"CL 9 B SUR 79 A 221";"CL 9 B SUR 79 A 221 URB RODEO VERDE PH";"MEDELLIN";6,202258;-75,59928
"CL 65 56 A 60";"CL 65 56 A 60 FARO DEL RIO PH";"MEDELLIN";6,26351;-75,56995
"CL 64 D 94 B 26";"CL 64 D 94 B 26 ";"MEDELLIN";6,28182;-75,60457
"CL 4 G 84 B 85";"CL 4 G 84 B 85 CONJUNTO AVIVA PH";"MEDELLIN";6,24589;-75,57457
"CL 75 AA SUR 52 E 340";"CL 75 AA SUR 52 E 340 CONJUNTO RESIDENCIAL ALTOS DE SURAMERICA PH";"ITAGUI";6,17288;-75,61148
"CR 47 7 13";"CR 47 7 13 VEGAS DE PATIO BONITO";"MEDELLIN";6,20918;-75,57622
"CLL 27 D SUR 27 C 15";"CLL 27 D SUR 27 C 15 ";"ENVIGADO";6,171883;-75,57093
"CRA 90 65 C 10";"CRA 90 65 C 10 MIRADOR DE BARCELONA";"MEDELLIN";6,278576;-75,59837
"CR 27 AA 36 SUR 170";"CR 27 AA 36 SUR 170 NATIVO MADERA";"ENVIGADO";6,15847;-75,57405
"CRA 42 60 SUR 60";"CRA 42 60 SUR 60 CAMPO AMALIA";"SABANETA";6,154111;-75,60664
"CR 65 34 A 69";"CR 65 34 A 69 CONJUNTO RESIDENCIAL PORTON DE LAS FLORES";"ITAGUI";6,169787;-75,63065
"CLL 75 AA SUR 52 E 340";"CLL 75 AA SUR 52 E 340 URB ALTOS DE SURAMERICA";"ITAGUI";6,16382;-75,63142
"CRA 45 15 SUR 38";"CRA 45 15 SUR 38 BAHIA BLANCA";"MEDELLIN";6,19181;-75,57803
"CR 59 A 69 C 09";"CR 59 A 69 C 09 URBANIZACION COLINA VERDE PH";"ITAGUI";6,185642;-75,60567
"CL 77 SUR 35 A 71";"CL 77 SUR 35 A 71 CONJUNTO RESIDENCIAL MADEROS DEL CAMPO ETAPA 2 PH";"SABANETA";6,143216;-75,6188
"CR 45 15 SUR 102";"CR 45 15 SUR 102 CAMINO DEL ANGEL";"MEDELLIN";6,19105;-75,57821
"CR 77 B 53 A 80";"CR 77 B 53 A 80 ";"MEDELLIN";6,266049;-75,59112
"CL 74 72 A 44";"CL 74 72 A 44 CONDOMINIO AGUAMARINA";"MEDELLIN";6,27428;-75,58278
"CR 76 53 200";"CR 76 53 200 URB CERRO NORTE";"MEDELLIN";6,26508;-75,58862
"CL 4 A 29 C 83";"CL 4 A 29 C 83 AGUAS CLARAS";"MEDELLIN";6,2017;-75,56174
"CR 42 B 25 SUR 64";"CR 42 B 25 SUR 64 URB C25";"ENVIGADO";6,179055;-75,58051
"CR 44 35 SUR 57";"CR 44 35 SUR 57 ";"ENVIGADO";6,172549;-75,58843
"CL 75 72 B 110";"CL 75 72 B 110 URBANIZACION ALMENDRA";"MEDELLIN";6,2753;-75,5839
"CL 71 SUR 35 180";"CL 71 SUR 35 180 URBANIZACION SALTAMONTES PH";"SABANETA";6,145587;-75,61096
"CR 78 34 26";"CR 78 34 26 EDIFICIO SAN MIGUEL";"MEDELLIN";6,24087;-75,59832
"CR 82 B 49 BB 99";"CR 82 B 49 BB 99 EDIFICIO MONIMAR";"MEDELLIN";6,26279;-75,60168
"CR 27 B 37 B SUR 80";"CR 27 B 37 B SUR 80 URB MUGA PH";"ENVIGADO";6,159924;-75,57583
"CR 42 14 90";"CR 42 14 90 UNIDAD RESIDENCIAL LA DUQUESA";"MEDELLIN";6,21532;-75,56838
"CR 23 38 73";"CR 23 38 73 COLINAS DE LA CANDELARIA";"MEDELLIN";6,231079999;-75,55113001
"CR 27 D 27 SUR 164";"CR 27 D 27 SUR 164 TORRE 2 URBANIZACION AMARELLO";"ENVIGADO";6,172884;-75,57145
"CR 46 76 SUR 69";"CR 46 76 SUR 69 TORRE 3 CONJUNTO DE USO MIXTO CYPRUS PH";"SABANETA";6,147168;-75,62276
"CR 27 23 SUR 69";"CR 27 23 SUR 69 URBANIZACION ZARZAMORA PH";"ENVIGADO";6,176965;-75,56764
"CR 41 21 SUR 91";"CR 41 21 SUR 91 ";"ENVIGADO";6,181321;-75,57682
"CR 44 19 A 20";"CR 44 19 A 20 CONJUNTO RESIDENCIAL CENTRAL DEL RIO PH";"MEDELLIN";6,22306;-75,5745
"CL 55 78 17";"CL 55 78 17 TORRE DEL VIENTO";"MEDELLIN";6,26854;-75,59273
"AV 32 49 A 135";"AV 32 49 A 135 CEIBA DEL NORTE PH";"BELLO";6,339035;-75,53915
"CR 44 19 A 20";"CR 44 19 A 20 CENTRAL DEL RIO";"MEDELLIN";6,22306;-75,5745
"CR 97 B 64 AE 45";"CR 97 B 64 AE 45 URBANIZACION CASAS DE SAN MARTIN";"MEDELLIN";6,283499;-75,60876
"CL 70 SUR 38 90";"CL 70 SUR 38 90 URB CARRIQUI";"SABANETA";6,147869;-75,61332
"CL 34 C 80 A 82";"CL 34 C 80 A 82 ";"MEDELLIN";6,24234;-75,60159
"CR 78 32 71";"CR 78 32 71 MIRADOR DEL VALLE";"MEDELLIN";6,23422;-75,59829
"CR 115 A 64 CC 04";"CR 115 A 64 CC 04 BOSQUES DE LA MACARENA";"MEDELLIN";6,234582;-75,63348
"CR 47 32 C SUR 09";"CR 47 32 C SUR 09 EDIFICIO MANANTIAL DEL PORTAL PH";"ENVIGADO";6,175993;-75,58966
"CR 59 70 125";"CR 59 70 125 URBANIZACION LAURELES DEL VALLE PH";"ITAGUI";6,19124;-75,60429
"CL 9 A SUR 79 A 125";"CL 9 A SUR 79 A 125 URBANIZACION RAYO DE SOL";"MEDELLIN";6,202619;-75,6006
"CR 44 60 B SUR 54";"CR 44 60 B SUR 54 UNIDAD RESIDENCIAL CAMINOS DE MAYORCA";"SABANETA";6,156318;-75,60895
"CL 69 SUR 46 A 24";"CL 69 SUR 46 A 24 EDIFICIO RENACER";"SABANETA";6,153444;-75,61684
"CL 40 A SUR 24 B 105";"CL 40 A SUR 24 B 105 CONJUNTO RESIDENCIAL PALMERAS ETAPA 3 PH";"ENVIGADO";6,151918;-75,58071
"CR 28 29 85";"CR 28 29 85 RESERVA DE SAN DIEGO";"MEDELLIN";6,22777;-75,5593
"CL 34 C 88 B 55";"CL 34 C 88 B 55 CONJUNTO RESIDENCIAL PLAZA CAMPESTRE";"MEDELLIN";6,243639987;-75,61483004
"CL 75 SUR 43 A 140";"CL 75 SUR 43 A 140 URB GORRION";"SABANETA";6,148515;-75,61698
"CL 28 SUR 27 201";"CL 28 SUR 27 201 CONJUNTO RESIDENCIAL REGATTA PH";"ENVIGADO";6,177174;-75,57631
"CL 75 72 B 55";"CL 75 72 B 55 CONJUNTO RESIDENCIAL PLAZA PILARICA PH";"MEDELLIN";6,27496999;-75,58355003
"CR 27 AA 36 SUR 170";"CR 27 AA 36 SUR 170 NATIVO MADERA PH";"ENVIGADO";6,15847;-75,57405
"CL 60 45 D 26";"CL 60 45 D 26 SAN MIGUEL DE VALLARTA PH";"MEDELLIN";6,255543;-75,56022
"CL 36 D SUR 27 D 39";"CL 36 D SUR 27 D 39 CONJUNTO RESIDENCIAL GUADALCANAL";"ENVIGADO";6,165153;-75,57548
"CR 59 A 69 C 9";"CR 59 A 69 C 9 URBANIZACION COLINA VERDE";"ITAGUI";6,185642;-75,60567
"CR 97 47 A 124";"CR 97 47 A 124 ";"MEDELLIN";6,257653;-75,61259
"CR 44 42 3";"CR 44 42 3 EDIFICIO SAN JOSE";"ITAGUI";6,166184;-75,61318
"CR 46 A 29 SUR 20";"CR 46 A 29 SUR 20 URBANIZACION PALO DE ROSA PH";"ENVIGADO";6,179675;-75,58642
"CL 4 G 84 B 85";"CL 4 G 84 B 85 CONJUNTO AVIVA";"MEDELLIN";6,217424;-75,60695
"CR 73 C 74 107";"CR 73 C 74 107 CENTRO PILARICA PH";"MEDELLIN";6,275143;-75,58546
"CL 63 80 A 40";"CL 63 80 A 40 UNIDAD RESIDENCIAL CRUCERO DE LA 80";"MEDELLIN";6,273492794;-75,59390969
"CR 76 A 53 215";"CR 76 A 53 215 PLAZA DE COLORES PH";"MEDELLIN";6,26563;-75,58952
"CL 84 58 50";"CL 84 58 50 URBANIZACION VILLASOL PH";"ITAGUI";6,194042;-75,59797
"CR 25 9 B SUR 197";"CR 25 9 B SUR 197 EDIFICIO ATLANTIC PH";"MEDELLIN";6,187652;-75,56149
"CR 76 53 200";"CR 76 53 200 CONJUNTO RESIDENCIAL CERRO NORTE PH";"MEDELLIN";6,26508;-75,58862
"CR 44 23 SUR 15";"CR 44 23 SUR 15 EDIFICIO TERRAZINO ZUÑIGA PH";"ENVIGADO";6,182808;-75,58098
"CL 48 F SUR 40 55";"CL 48 F SUR 40 55 PUERTO LUNA";"ENVIGADO";6,157488;-75,59813
"AV 31 DG 66 29";"AV 31 DG 66 29 CONJUNTO RESIDENCIAL PH";"BELLO";6,20542;-75,56718
"CL 57 50 A 46";"CL 57 50 A 46 SOL DE VILLANUEVA PH";"MEDELLIN";6,25542;-75,56518
"CL 37 B 84 16";"CL 37 B 84 16 EDIFICIO LA MANUELA 2";"MEDELLIN";6,24588;-75,60622
"CR 39 77 SUR 84";"CR 39 77 SUR 84 CONJUNTO RESIDENCIAL MADEROS DEL CAMPO 3 PH";"SABANETA";6,1526;-75,6109
"CR 43 25 A 112";"CR 43 25 A 112 CONJUNTO RESIDENCIAL POBLADO REAL";"MEDELLIN";6,22495;-75,5685
"CR 38 23 SUR 30";"CR 38 23 SUR 30 CONJUNTO RESIDENCIAL MONTIEL PH";"ENVIGADO";6,17823;-75,57252
"CL 70 59 193";"CL 70 59 193 SENDERO VERDE PH";"ITAGUI";6,17288;-75,61148
"CL 27 B 58 BB 89";"CL 27 B 58 BB 89 ";"BELLO";6,316877;-75,56627
"TV 5 DG 75 D 42";"TV 5 DG 75 D 42 CONJUNTO RESIDENCIAL ALCAZAR DE LA MOTA PH";"MEDELLIN";6,213135;-75,59864
"CR 38 75 B SUR 115";"CR 38 75 B SUR 115 LA VEGA APARTAMENTOS";"SABANETA";6,143584;-75,61679
"CL 27 SUR 27 92";"CL 27 SUR 27 92 CONJUNTO RESIDENCIAL TIERRA GRATA EL ESMERALDAL";"ENVIGADO";6,172598;-75,5684
"CR 43 B 11 A 31";"CR 43 B 11 A 31 EDIFICIO PRO RAIZ";"MEDELLIN";6,213022;-75,57067
"CR 81 4 G 35";"CR 81 4 G 35 UNIDAD RESIDENCIAL SENDERO DEL PARQUE PH";"MEDELLIN";6,24589;-75,57457
"CL 20 SUR 47 14";"CL 20 SUR 47 14 VLORE PARTAMENTOS";"ENVIGADO";6,186057;-75,58168
"CR 49 87 48";"CR 49 87 48 ";"ITAGUI";6,193223;-75,58934
"CR 27 B 27 D SUR 225";"CR 27 B 27 D SUR 225 URBANIZACION CUMBRES CONDOMINIO PH";"ENVIGADO";6,17371;-75,57012
"CR 37 A 29 56";"CR 37 A 29 56 CONJUNTO RESIDENCIAL CERATTO PH";"MEDELLIN";6,22681;-75,56394
"CR 72 D 74 225";"CR 72 D 74 225 CONJUNTO RESIDENCIAL ARAGON PH";"MEDELLIN";6,20542;-75,56718
"CR 91 40 10";"CR 91 40 10 EDIFICIO LAUREL";"MEDELLIN";6,2512;-75,60993
"CL 77 SUR 46 D 43";"CL 77 SUR 46 D 43 VALPARAISO PH";"SABANETA";6,149529;-75,62245
"CR 63 B 73 SUR 126";"CR 63 B 73 SUR 126 CAPELLA PH";"LA ESTRELLA";6,166125;-75,64555
"CR 25 10 40";"CR 25 10 40 URBANIZACION CAMINOS DE MONTICELLO";"MEDELLIN";6,20823;-75,55442
"CL 35 76 37 LO";"CL 35 76 37 LO EDIFICIO ESTONIA PH";"MEDELLIN";6,24247;-75,59743
"CR 81 46 59";"CR 81 46 59 ";"MEDELLIN";6,25702;-75,59909
"CR 27 B 37 B SUR 80";"CR 27 B 37 B SUR 80 URBANIZACION MUGA PH";"ENVIGADO";6,159924;-75,57583
"CL 77 SUR 35 140";"CL 77 SUR 35 140 URBANIZACION CORTIJO SAN JOSE";"SABANETA";6,143114;-75,61866
"DG 54 AV 17 100";"DG 54 AV 17 100 URBANIZACION POBLADO NIQUIA PH";"BELLO";6,3456;-75,52853
"CR 80 A 36 30";"CR 80 A 36 30 EDIFICIO FRICAR";"MEDELLIN";6,24458;-75,60081
"CL 54 81 48";"CL 54 81 48 EDIFICIO NOGALES PH";"MEDELLIN";6,26874;-75,59742
"CL 44 94 60";"CL 44 94 60 CONJUNTO RESIDENCIAL PLAZA SAN JUAN PH";"MEDELLIN";6,25473;-75,61128
"CR 27 G 35 SUR 175";"CR 27 G 35 SUR 175 CONJUNTO RESIDENCIAL SALTAMONTE PH";"ENVIGADO";6,17061;-75,57654
"CR 43 A 71 SUR 103";"CR 43 A 71 SUR 103 ED RESIDENCIAL";"SABANETA";6,148911;-75,61547
"CR 43 A 71 SUR 103";"CR 43 A 71 SUR 103 ALONDRA APARTAMENTOS";"SABANETA";6,148911;-75,61547
"CR 59 70 125";"CR 59 70 125 CONJUNTO RESIDENCIAL LAURELES DEL VALLE";"ITAGUI";6,17288;-75,61148
"CL 34 86 A 67";"CL 34 86 A 67 CONJUNTO RESIDENCIAL GUADARRAMA 2";"MEDELLIN";6,242513;-75,61243
"CL 5 80 C 130";"CL 5 80 C 130 CONJUNTO RESIDENCIAL CATALEJO ALFA";"MEDELLIN";6,20542;-75,56718
"CR 72 B 82 22";"CR 72 B 82 22 ";"MEDELLIN";6,2825;-75,57787
"CL 81 SUR 59 115";"CL 81 SUR 59 115 UNIDAD RESIDENCIAL FUENTE CLARA";"LA ESTRELLA";6,157015;-75,64297
"CR 53 45 22 LO";"CR 53 45 22 LO ";"MEDELLIN";6,246749;-75,57198
"CR 44 18 56";"CR 44 18 56 CONJUNTO INMOBILIARIO RESERVA DEL RIO PH";"MEDELLIN";6,24589;-75,57457
"CL 52 SUR 43 A 57";"CL 52 SUR 43 A 57 URBANIZACION ALTOS DE MAYORCA PH";"SABANETA";6,159453;-75,60493
"CL 12 C SUR 39 153";"CL 12 C SUR 39 153 CONJUNTO RESIDENCIAL LA GRUTA DEL POBLADO PH";"MEDELLIN";6,19177;-75,57507
"CL 75 AA SUR 52 E 105";"CL 75 AA SUR 52 E 105 TORRE 2 CONJUNTO RESIDENCIAL RIVERA DE SURAMERICA";"ITAGUI";6,17288;-75,61148
"CL 34 C 88 B 55";"CL 34 C 88 B 55 CONJUTO RESIDENCIAL PLAZA CAMPESTRE PH";"MEDELLIN";6,24306;-75,61557
"CR 35 75 SUR 41";"CR 35 75 SUR 41 CONJUNTO RESIDENCIAL TERRAMAR PH";"SABANETA";6,142552;-75,61422
"CL 79 SUR 55 15";"CL 79 SUR 55 15 TORRE 2 CONJUNTO DE USO MIXTO PITRIZA PH";"LA ESTRELLA";6,156148;-75,63075
"CL 64 E 94 CC 10";"CL 64 E 94 CC 10 URBANIZACION ATLANTIDA 2";"MEDELLIN";6,28257;-75,6049
"CR 86 A 37 75";"CR 86 A 37 75 EDIFICIO TAHAMI II PH";"MEDELLIN";6,24672;-75,60908
"CL 84 58 320";"CL 84 58 320 VILLA NOVA PH";"ITAGUI";6,19535;75,60059
"CL 74 SUR 46 E 78";"CL 74 SUR 46 E 78 EDIFICIO MIRARDOR DE LAS VEGAS";"SABANETA";6,15268;-75,61985
"CR 88 35 D 40";"CR 88 35 D 40 ";"MEDELLIN";6,246517;-75,61114
"CR 57 38 290";"CR 57 38 290 CONJUNTO RESIDENCIALPUERTO NUEVO";"BELLO";6,31392;-75,57078
"CL 45 F 73 36";"CL 45 F 73 36 ";"MEDELLIN";6,2529;-75,59232
"CL 38 B SUR 26 02";"CL 38 B SUR 26 02 CONJUNTO RESIDENCIAL MONTEPIETRA P.H";"ENVIGADO";6,156998;-75,57545
"CR 73 30 47";"CR 73 30 47 EDIFICIO SAN MATEO P.H";"MEDELLIN";6,23196;-75,59373
"CL 27 SUR 27 92";"CL 27 SUR 27 92 TIERRA GRATA EL ESMERALDAL";"ENVIGADO";6,172598;-75,5684
"CR 28 27 D SUR 150";"CR 28 27 D SUR 150 BOSQUES DEL ESMERALDAL";"ENVIGADO";6,174195;-75,57495
"CL 48 A 67 51";"CL 48 A 67 51 ";"MEDELLIN";6,25376;-75,58499
"CR 79 34 A 110";"CR 79 34 A 110 EDIFICIO SAN MARCOS PH";"MEDELLIN";6,24223;-75,59952
"CL 28 SUR 27 201";"CL 28 SUR 27 201 URBANIZACION REGATTA APARTAMENTOS PH";"ENVIGADO";6,177174;-75,57631
"CR 41 24 131";"CR 41 24 131 UNIDAD RESIDENCIAL CALIFORNIA DEL POBLADO PH";"MEDELLIN";6,209921;-75,56877
"CR 48 C 16 A SUR 50";"CR 48 C 16 A SUR 50 URBANIZACION AZULEDA DEL CAMPESTRE";"MEDELLIN";6,19055;-75,58222
"CL 80 72 C 40";"CL 80 72 C 40 ";"MEDELLIN";6,280562;-75,57942
"CL 31 81 A 51";"CL 31 81 A 51 CONJUNTO RESIDENCIAL PATIO DE LA CASTELLANA PH";"MEDELLIN";6,24069;-75,60679
"CL 74 73 47";"CL 74 73 47 MIRADOR DE LA PILARICA 1 PH";"MEDELLIN";6,27424;-75,58295
"CR 39 E 48 F SUR 150";"CR 39 E 48 F SUR 150 CONJUNTO RESIDENCIAL MISSISSIPPI DE LA CUENCA";"ENVIGADO";6,154719;-75,59801
"CR 83 A 48 BB 81";"CR 83 A 48 BB 81 URBANIZACION TORREMONTANA PH";"MEDELLIN";6,26178;-75,60249
"CR 39 E 48 C SUR 36";"CR 39 E 48 C SUR 36 CONJUNTO RESIDENCIAL ORINOCO PH";"ENVIGADO";6,154587;-75,598
"CQ 2 68 100";"CQ 2 68 100 EDIFICIO KINTALA P.H";"MEDELLIN";6,24589;-75,57457
"CR 42 A 40 H SUR 05";"CR 42 A 40 H SUR 05 ";"ENVIGADO";6,16616;-75,59132
"CL 77 SUR 43 A 76";"CL 77 SUR 43 A 76 EDIFICIO RESIDENCIAL MANANTIALES DE SAN JOSE";"SABANETA";6,14638;-75,61916
"CL 21 SUR 41 A 73";"CL 21 SUR 41 A 73 UNIDAD RESIDENCIAL MONTEVERDE TORRE I II";"ENVIGADO";6,182345;-75,57741
"CR 60 D 40 A SUR 38";"CR 60 D 40 A SUR 38 URBANIZACION FLORES Y COLORES NUCLEO 2";"SAN ANTONIO DE PRADO";6,18446;-75,64107
"CL 8 84 F 25";"CL 8 84 F 25 OASIS DE LOS BERNAL";"MEDELLIN";6,21935;-75,60921
"CL 2 A 78 A 15";"CL 2 A 78 A 15 ";"MEDELLIN";6,21284;-75,60146
"CL 18 B SUR 38 164";"CL 18 B SUR 38 164 URBANIZACION CONTEMPORA PH";"ENVIGADO";6,16395;-75,57326
"CR 28 29 190";"CR 28 29 190 CONJUNTO RESIDENCIAL COLINAS DEL VIENTO PH";"MEDELLIN";6,24589;-75,57457
"CR 87 77 B B 35";"CR 87 77 B B 35 ";"MEDELLIN";6,28363;-75,59118
"CR 43 A 75 SUR 05";"CR 43 A 75 SUR 05 MESSANTIA APARTAMENTOS";"SABANETA";6,155997;-75,60717
"CR 41 57 SUR 01";"CR 41 57 SUR 01 URBANIZACION CANELA APARTAMENTOS";"SABANETA";6,155421;-75,60552
"CL 75 AA SUR 52 E 105";"CL 75 AA SUR 52 E 105 CONJUNTO RESIDENCIAL RIVERA DE SURAMERICA PH";"ITAGUI";6,17288;-75,61148
"CL 77 SUR 50 A 184";"CL 77 SUR 50 A 184 CONJUNTO RESIDENCIAL VIÑA DEL MAR SURAMERICA";"LA ESTRELLA";6,15738;-75,62706
"CL 77 SUR 43 A 76";"CL 77 SUR 43 A 76 EDIFICIO MANANTIALES DE SAN JOSE PH";"SABANETA";6,14638;-75,61916
"CR 95 47 A 60";"CR 95 47 A 60 JARDINES DE BABILONIA";"MEDELLIN";6,25673;-75,61207
"CL 9 B SUR 79 A 121";"CL 9 B SUR 79 A 121 SOL DEL RODEO APARTAMENTOS";"MEDELLIN";6,20785;-75,59099
"CR 84 32 C 99";"CR 84 32 C 99 URBANIZACION LAURELES DEL CASTILLO";"MEDELLIN";6,19131;-75,57387
"CL 66 46 A 41";"CL 66 46 A 41 ";"ITAGUI";6,17937;-75,59815
"CL 35 C 86 83";"CL 35 C 86 83 EDIFICIO ALMERIAS 1";"MEDELLIN";6,24552;-75,61124
"CL 9 SUR 79 C 115";"CL 9 SUR 79 C 115 ARBOLEDA DEL RODEO PH";"MEDELLIN";6,20785;-75,59099
"CR 27 AA 37 B SUR 60";"CR 27 AA 37 B SUR 60 CONJUNTO RESIDENCIAL ENTREPINOS PH";"ENVIGADO";6,15847;-75,57405
"CL 37 B 27 17";"CL 37 B 27 17 BRUJAS CAMPESTRE APARTAMENTOS";"ENVIGADO";6,165563;-75,58021
"CL 75 72 B 55";"CL 75 72 B 55 CONJUNTO RESIDENCIAL PLAZA PILARICA";"MEDELLIN";6,27497;-75,58355
"CR 90 A 35 A 44";"CR 90 A 35 A 44 ";"MEDELLIN";6,24676;-75,61388
"CR 63 B 75 SUR 126";"CR 63 B 75 SUR 126 CAPELLA PH";"LA ESTRELLA";6,166125;-75,64555
"CR 37 38 SUR 28";"CR 37 38 SUR 28 EDIFICIO VIILA CRISTINA PH";"ENVIGADO";6,167335;-75,58427
"CR 61 33 51";"CR 61 33 51 CONJUNTO RESIDENCIAL BAHIA GRANDE PH T 1";"ITAGUI";6,20542;-75,56718
"TV 37 72 103";"TV 37 72 103 EDIFICIO EL LAUREL PH";"MEDELLIN";6,24136;-75,59513
"CR 80 B 36 25";"CR 80 B 36 25 ";"MEDELLIN";6,24461;-75,6019
"CR 83 A 32 EE 45";"CR 83 A 32 EE 45 EDIFICIO EL CASTELLON PH";"MEDELLIN";6,23794;-75,60675
"CR 71 CIR 1 35 LO";"CR 71 CIR 1 35 LO ";"MEDELLIN";6,2449;-75,59028
"CL 27 SUR 27 21";"CL 27 SUR 27 21 CONJUNTO RESIDENCIAL LYON PH";"ENVIGADO";6,172341;-75,56809
"CL 77 SUR 35 A 71";"CL 77 SUR 35 A 71 CONJUNTO RESIDENCIAL MADEROS DEL CAMPO II";"SABANETA";6,143216;-75,6188
"CR 56 C 83 D D SUR 52";"CR 56 C 83 D D SUR 52 CONJUNTO NATURAL AQUAVENTO PH ETAPA 1 TORRE 1";"LA ESTRELLA";6,152964;-75,63976
"CR 88 A 34 A 29";"CR 88 A 34 A 29 ";"MEDELLIN";6,24295;-75,61385
"CL 65 C 91 117";"CL 65 C 91 117 ";"MEDELLIN";6,281109986;-75,59977554
"CL 22 57 84";"CL 22 57 84 UNIDAD RESIDENCIAL LA FE";"MEDELLIN";6,22421;-75,58256
"CL 32 D 80 B 49";"CL 32 D 80 B 49 EDIFICIO IPANEMA PH";"MEDELLIN";6,23647;-75,60203
"CL 63 A SUR 39 A 109";"CL 63 A SUR 39 A 109 URBANIZACION ALCAZAR DEL POMAR";"SABANETA";6,149638;-75,6071
"CR 32 40 C SUR 21";"CR 32 40 C SUR 21 ";"ENVIGADO";6,162389;-75,58402
"CL 77 SUR 43 A 76";"CL 77 SUR 43 A 76 ED RESIDENCIAL MANANTIALES DE SAN JOSE PH";"SABANETA";6,14638;-75,61916
"CR 91 B 66 B 17";"CR 91 B 66 B 17 ";"MEDELLIN";6,28309;-75,5989
"CR 83 A 32 EE 44";"CR 83 A 32 EE 44 ";"MEDELLIN";6,23798;-75,60664
"CR 47 B 25 A SUR 67";"CR 47 B 25 A SUR 67 CONJUNTO RESIDENCIAL VILLA GRANDE";"ENVIGADO";6,183901;-75,58411
"CL 49 94 25";"CL 49 94 25 ";"MEDELLIN";6,285765;-75,55619
"CR 80 B 34 A 39";"CR 80 B 34 A 39 ";"MEDELLIN";6,241251;-75,60193
"CL 7 SUR 42 70";"CL 7 SUR 42 70 EDIFICIO FORUM PRIMERA ETAPA PH";"MEDELLIN";6,19741;-75,57363
"CR 59 70 349";"CR 59 70 349 TORRE 3 CONJUNTO RESIDENCIAL CIUDADELA DEL VALLE PH";"ITAGUI";6,17288;-75,61148
"CL 78 E SUR 47 C 80";"CL 78 E SUR 47 C 80 CONJUNTO DE USO MIXTO URBANIZACION RIO SECRETO";"SABANETA";6,1526;-75,6109
"CL 78 47 49";"CL 78 47 49 ";"MEDELLIN";6,27141;-75,55672
"CL 66 45 A 06";"CL 66 45 A 06 ";"ITAGUI";6,179;-75,59756
"CL 32 F 74 B 76";"CL 32 F 74 B 76 ";"MEDELLIN";6,238272;-75,59184
"CR 78 52 A 64";"CR 78 52 A 64 ";"MEDELLIN";6,26515;-75,59297
"CR 46 66 46";"CR 46 66 46 ";"ITAGUI";6,179104;-75,5973
"CR 33 28 10";"CR 33 28 10 URBANIZACION SERRANIA DE SAN DIEGO";"MEDELLIN";6,23349;-75,56834
"CR 36 D 43 SUR 49";"CR 36 D 43 SUR 49 CONJUNTO RESIDENCIAL LAS ANTILLAS ETAPA 2";"ENVIGADO";6,155903;-75,58763
"CL 29 37 A 38";"CL 29 37 A 38 CONJUNTO RESIDENCIAL MIRADOR DE SAN DIEGO PH";"MEDELLIN";6,226818;-75,56762
"CR 29 6 24";"CR 29 6 24 EDIFICIO OSLO PH";"MEDELLIN";6,203359;-75,55935
"CR 66 B 32 D 21";"CR 66 B 32 D 21 ";"MEDELLIN";6,237945;-75,58753
"CR 74 43 4";"CR 74 43 4 PUNTA DEL ESTE PH";"MEDELLIN";6,249082;-75,59348
